	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
putative D,D-dipeptide transport ATP-binding protein DdpF	0	13	0	1	0	0	61.9047619047619	0	0	1.81818181818182	putative D,D-dipeptide transport ATP-binding protein DdpF	1.52646172156963e-09	9.10087005722031e-08
5S ribosomal RNA (partial)	1	13	2	0	0	33.3333333333333	61.9047619047619	0	8.33333333333333	0	5S ribosomal RNA (partial)	1.9596521335397e-09	1.09298017383554e-07
Putative threonylcarbamoyl-AMP synthase	2	8	22	55	0	66.6666666666667	38.0952380952381	0	91.6666666666667	100	Putative threonylcarbamoyl-AMP synthase	1.95965213353972e-09	1.09298017383554e-07
Ascorbate-specific PTS system EIIA component	2	14	3	1	1	66.6666666666667	66.6666666666667	50	12.5	1.81818181818182	Ascorbate-specific PTS system EIIA component	2.76287022359736e-09	1.49281331768745e-07
Malolactic enzyme	3	15	3	5	2	100	71.4285714285714	100	12.5	9.09090909090909	Malolactic enzyme	1.25484867278249e-08	6.5746465310331e-07
Toxin YoeB	2	8	23	54	0	66.6666666666667	38.0952380952381	0	95.8333333333333	98.1818181818182	Toxin YoeB	1.80137671515076e-08	9.16053041322256e-07
Streptogramin A acetyltransferase	0	5	12	48	1	0	23.8095238095238	50	50	87.2727272727273	Streptogramin A acetyltransferase	3.8332241362155e-08	1.89361272329046e-06
HTH-type transcriptional regulator SarT	0	5	19	48	0	0	23.8095238095238	0	79.1666666666667	87.2727272727273	HTH-type transcriptional regulator SarT	5.9793523904515e-08	2.87175007863629e-06
Extracellular matrix-binding protein EbhA	1	17	13	7	0	33.3333333333333	80.9523809523809	0	54.1666666666667	12.7272727272727	Extracellular matrix-binding protein EbhA	6.3923015060938e-08	2.98710521730708e-06
Inner membrane transport permease YbhR	3	14	3	5	1	100	66.6666666666667	50	12.5	9.09090909090909	Inner membrane transport permease YbhR	8.11360516911382e-08	3.5970316249738e-06
putative ABC transporter ATP-binding protein YbhF	3	14	3	5	1	100	66.6666666666667	50	12.5	9.09090909090909	putative ABC transporter ATP-binding protein YbhF	8.11360516911382e-08	3.5970316249738e-06
Clumping factor A	3	21	22	27	2	100	100	100	91.6666666666667	49.0909090909091	Clumping factor A	1.72980008811737e-07	7.47706088088734e-06
Leucotoxin LukEv	1	6	21	50	0	33.3333333333333	28.5714285714286	0	87.5	90.9090909090909	Leucotoxin LukEv	2.38021044983749e-07	1.00375216287049e-05
HTH-type transcriptional regulator SarU	0	5	18	47	0	0	23.8095238095238	0	75	85.4545454545455	HTH-type transcriptional regulator SarU	2.4910180338387e-07	1.02546909059693e-05
Intracellular serine protease	0	13	2	2	0	0	61.9047619047619	0	8.33333333333333	3.63636363636364	Intracellular serine protease	2.63170549870299e-07	1.05819042029243e-05
Spermidine N(1)-acetyltransferase	0	0	0	22	0	0	0	0	0	40	Spermidine N(1)-acetyltransferase	3.52128498583543e-07	1.38370494102488e-05
Serine protease SplA	1	6	19	50	0	33.3333333333333	28.5714285714286	0	79.1666666666667	90.9090909090909	Serine protease SplA	6.71043274930148e-07	2.57829738300939e-05
Hydroxyacylglutathione hydrolase GloC	1	6	16	50	0	33.3333333333333	28.5714285714286	0	66.6666666666667	90.9090909090909	Hydroxyacylglutathione hydrolase GloC	7.47116274768191e-07	2.80818269363957e-05
Putative alcohol dehydrogenase D	0	0	0	21	0	0	0	0	0	38.1818181818182	Putative alcohol dehydrogenase D	8.34498132178473e-07	3.0698878096523e-05
Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	0	5	16	46	0	0	23.8095238095238	0	66.6666666666667	83.6363636363636	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	9.90284679474776e-07	3.56708793919143e-05
Exotoxin type H	1	5	17	48	0	33.3333333333333	23.8095238095238	0	70.8333333333333	87.2727272727273	Exotoxin type H	1.46865687228015e-06	5.18226067790282e-05
CTP pyrophosphohydrolase	2	16	14	55	1	66.6666666666667	76.1904761904762	50	58.3333333333333	100	CTP pyrophosphohydrolase	1.76643607646308e-06	5.76258108717863e-05
Modification methylase HhaI	1	5	10	0	0	33.3333333333333	23.8095238095238	0	41.6666666666667	0	Modification methylase HhaI	1.76643607646307e-06	5.76258108717863e-05
Putative DNA repair helicase RadD	2	16	14	55	1	66.6666666666667	76.1904761904762	50	58.3333333333333	100	Putative DNA repair helicase RadD	1.76643607646308e-06	5.76258108717863e-05
Type-2 restriction enzyme Sau3AI	1	5	10	0	0	33.3333333333333	23.8095238095238	0	41.6666666666667	0	Type-2 restriction enzyme Sau3AI	1.76643607646307e-06	5.76258108717863e-05
Serine protease SplF	1	6	19	49	0	33.3333333333333	28.5714285714286	0	79.1666666666667	89.0909090909091	Serine protease SplF	2.12291593284584e-06	6.79726231090824e-05
ATP-dependent Clp protease proteolytic subunit 1	2	3	5	38	0	66.6666666666667	14.2857142857143	0	20.8333333333333	69.0909090909091	ATP-dependent Clp protease proteolytic subunit 1	2.60946514849536e-06	8.20320953045177e-05
DNA polymerase I, thermostable	1	3	5	38	0	33.3333333333333	14.2857142857143	0	20.8333333333333	69.0909090909091	DNA polymerase I, thermostable	3.03343175244664e-06	9.20140964908813e-05
Glycyl-glycine endopeptidase ALE-1	1	3	5	38	0	33.3333333333333	14.2857142857143	0	20.8333333333333	69.0909090909091	Glycyl-glycine endopeptidase ALE-1	3.03343175244664e-06	9.20140964908813e-05
Enterotoxin type D	3	20	7	28	1	100	95.2380952380952	50	29.1666666666667	50.9090909090909	Enterotoxin type D	3.81203626320959e-06	0.000113638115501541
Methicillin resistance regulatory protein MecI	0	0	0	19	0	0	0	0	0	34.5454545454545	Methicillin resistance regulatory protein MecI	4.44135874419396e-06	0.000125887037191989
N-acetylglucosamine repressor	0	0	0	19	0	0	0	0	0	34.5454545454545	N-acetylglucosamine repressor	4.44135874419396e-06	0.000125887037191989
Thiosulfate sulfurtransferase PspE	0	0	0	19	0	0	0	0	0	34.5454545454545	Thiosulfate sulfurtransferase PspE	4.44135874419396e-06	0.000125887037191989
Enterotoxin type G	3	20	7	29	1	100	95.2380952380952	50	29.1666666666667	52.7272727272727	Enterotoxin type G	4.62819944875327e-06	0.000129067045917652
Collagen adhesin	2	15	7	7	2	66.6666666666667	71.4285714285714	100	29.1666666666667	12.7272727272727	Collagen adhesin	8.8402335088588e-06	0.000242615297409792
tRNA (mo5U34)-methyltransferase	0	0	1	21	0	0	0	0	4.16666666666667	38.1818181818182	tRNA (mo5U34)-methyltransferase	1.27997283819434e-05	0.00034579266206844
Transposase from transposon Tn916	1	19	12	52	0	33.3333333333333	90.4761904761905	0	50	94.5454545454545	Transposase from transposon Tn916	1.61722515713307e-05	0.000430181891797397
Enterotoxin type B	3	18	5	28	1	100	85.7142857142857	50	20.8333333333333	50.9090909090909	Enterotoxin type B	1.93681385134626e-05	0.000507386537723892
Serine protease SplD	1	2	11	37	0	33.3333333333333	9.52380952380952	0	45.8333333333333	67.2727272727273	Serine protease SplD	3.84663527803813e-05	0.000992661551601183
Surface protein G	0	3	5	33	0	0	14.2857142857143	0	20.8333333333333	60	Surface protein G	4.76092356254112e-05	0.00121053482935788
Deoxyuridine 5'-triphosphate nucleotidohydrolase	1	14	7	45	1	33.3333333333333	66.6666666666667	50	29.1666666666667	81.8181818181818	Deoxyuridine 5'-triphosphate nucleotidohydrolase	7.79002126999307e-05	0.00195202127185768
Na( )/H( ) antiporter subunit B	2	19	23	30	2	66.6666666666667	90.4761904761905	100	95.8333333333333	54.5454545454545	Na( )/H( ) antiporter subunit B	9.04747875034686e-05	0.00223472725133567
Chemotaxis inhibitory protein	2	18	12	52	1	66.6666666666667	85.7142857142857	50	50	94.5454545454545	Chemotaxis inhibitory protein	0.000111088569506096	0.00270524136163436
rRNA adenine N-6-methyltransferase	0	1	3	25	0	0	4.76190476190476	0	12.5	45.4545454545455	rRNA adenine N-6-methyltransferase	0.000131619771063588	0.00316070255790199
Putative defective protein IntQ	2	13	2	11	0	66.6666666666667	61.9047619047619	0	8.33333333333333	20	Putative defective protein IntQ	0.000170894164839893	0.00404761658915308
Extracellular metalloprotease	1	2	1	24	0	33.3333333333333	9.52380952380952	0	4.16666666666667	43.6363636363636	Extracellular metalloprotease	0.000183817137130752	0.00429486256890634
Putative surface protein	0	5	15	39	0	0	23.8095238095238	0	62.5	70.9090909090909	Putative surface protein	0.000219359437219708	0.00505696622603834
Murein DD-endopeptidase MepM	3	20	17	55	2	100	95.2380952380952	100	70.8333333333333	100	Murein DD-endopeptidase MepM	0.000244888001458012	0.00557120203316978
Bleomycin resistance protein	0	0	1	17	0	0	0	0	4.16666666666667	30.9090909090909	Bleomycin resistance protein	0.000258784207149745	0.00581088174236245
Cadmium resistance transcriptional regulatory protein CadC	2	20	13	51	1	66.6666666666667	95.2380952380952	50	54.1666666666667	92.7272727272727	Cadmium resistance transcriptional regulatory protein CadC	0.000324001074072485	0.00718202380860674
Cyclic pyranopterin monophosphate synthase	3	20	15	29	2	100	95.2380952380952	100	62.5	52.7272727272727	Cyclic pyranopterin monophosphate synthase	0.000575414230059122	0.0125935595414205
DNA-invertase hin	2	20	18	55	1	66.6666666666667	95.2380952380952	50	75	100	DNA-invertase hin	0.000586198547496669	0.0126692161077718
Enterotoxin type C-2	0	0	6	20	1	0	0	50	25	36.3636363636364	Enterotoxin type C-2	0.000615424796251276	0.013136660157018
putative methyltransferase YcgJ	0	1	1	19	0	0	4.76190476190476	0	4.16666666666667	34.5454545454545	putative methyltransferase YcgJ	0.000732928038229453	0.0154540558304723
Kanamycin nucleotidyltransferase	0	0	2	17	0	0	0	0	8.33333333333333	30.9090909090909	Kanamycin nucleotidyltransferase	0.000814849757137139	0.0169744003625315
HTH-type transcriptional regulator NorG	3	19	15	53	1	100	90.4761904761905	50	62.5	96.3636363636364	HTH-type transcriptional regulator NorG	0.00115946690871155	0.0238656938709793
Na( )/H( ) antiporter subunit G	1	19	22	33	2	33.3333333333333	90.4761904761905	100	91.6666666666667	60	Na( )/H( ) antiporter subunit G	0.00130620992797353	0.0265698466525439
Clumping factor B	3	18	17	25	2	100	85.7142857142857	100	70.8333333333333	45.4545454545455	Clumping factor B	0.0013576937738479	0.0272959597091049
Copper-exporting P-type ATPase B	1	1	2	21	0	33.3333333333333	4.76190476190476	0	8.33333333333333	38.1818181818182	Copper-exporting P-type ATPase B	0.0015107086616997	0.0300231640928596
Macrolide export ATP-binding/permease protein MacB	0	1	7	24	0	0	4.76190476190476	0	29.1666666666667	43.6363636363636	Macrolide export ATP-binding/permease protein MacB	0.00159352613033041	0.0313091668106964
putative ABC transporter ATP-binding protein YknY	0	1	8	24	0	0	4.76190476190476	0	33.3333333333333	43.6363636363636	putative ABC transporter ATP-binding protein YknY	0.00161565170917295	0.031387211293933
Beta-lactamase	3	21	17	53	1	100	100	50	70.8333333333333	96.3636363636364	Beta-lactamase	0.00189787069349813	0.0364602047673141
ESAT-6 secretion machinery protein EssD	2	17	11	48	1	66.6666666666667	80.9523809523809	50	45.8333333333333	87.2727272727273	ESAT-6 secretion machinery protein EssD	0.00193885187642344	0.0368381856520454
Enterotoxin type H	1	0	4	0	0	33.3333333333333	0	0	16.6666666666667	0	Enterotoxin type H	0.00223386409240939	0.041982076258433
Chromosome partitioning protein ParA	0	0	6	1	0	0	0	0	25	1.81818181818182	Chromosome partitioning protein ParA	0.00268502317559758	0.0493872879851938
Single-stranded DNA-binding protein B	0	0	6	1	0	0	0	0	25	1.81818181818182	Single-stranded DNA-binding protein B	0.00268502317559758	0.0493872879851938
Lantibiotic gallidermin	0	2	7	26	0	0	9.52380952380952	0	29.1666666666667	47.2727272727273	Lantibiotic gallidermin	0.00324916015283429	0.0591347147815842
Epidermin decarboxylase	0	2	8	26	0	0	9.52380952380952	0	33.3333333333333	47.2727272727273	Epidermin decarboxylase	0.00372616239954043	0.0657401509061776
Nisin biosynthesis protein NisB	0	2	8	26	0	0	9.52380952380952	0	33.3333333333333	47.2727272727273	Nisin biosynthesis protein NisB	0.00372616239954043	0.0657401509061776
Nisin biosynthesis protein NisC	0	2	8	26	0	0	9.52380952380952	0	33.3333333333333	47.2727272727273	Nisin biosynthesis protein NisC	0.00372616239954043	0.0657401509061776
Penicillinase repressor	3	21	17	52	1	100	100	50	70.8333333333333	94.5454545454545	Penicillinase repressor	0.00388518890955313	0.0678534507537107
Bone sialoprotein-binding protein	1	9	6	4	0	33.3333333333333	42.8571428571429	0	25	7.27272727272727	Bone sialoprotein-binding protein	0.00415705182842373	0.0718754261134463
Iron import ATP-binding/permease protein IrtA	0	1	5	0	0	0	4.76190476190476	0	20.8333333333333	0	Iron import ATP-binding/permease protein IrtA	0.00431321625242155	0.0738371376280877
Bifunctional AAC/APH	0	0	8	7	0	0	0	0	33.3333333333333	12.7272727272727	Bifunctional AAC/APH	0.0045933509177179	0.0778618013405318
Plasmid recombination enzyme	3	2	8	19	1	100	9.52380952380952	50	33.3333333333333	34.5454545454545	Plasmid recombination enzyme	0.00467880690174722	0.0785403605157373
Replication initiation protein	1	2	9	28	0	33.3333333333333	9.52380952380952	0	37.5	50.9090909090909	Replication initiation protein	0.00559164574233338	0.0929611104662924
ESAT-6 secretion system extracellular protein B	2	17	12	48	1	66.6666666666667	80.9523809523809	50	50	87.2727272727273	ESAT-6 secretion system extracellular protein B	0.00622977648092287	0.100666201266501
ESAT-6 secretion system extracellular protein C	2	17	12	48	1	66.6666666666667	80.9523809523809	50	50	87.2727272727273	ESAT-6 secretion system extracellular protein C	0.00622977648092287	0.100666201266501
ESAT-6 secretion system extracellular protein D	2	17	12	48	1	66.6666666666667	80.9523809523809	50	50	87.2727272727273	ESAT-6 secretion system extracellular protein D	0.00622977648092287	0.100666201266501
FPRL1 inhibitory protein	2	20	20	55	2	66.6666666666667	95.2380952380952	100	83.3333333333333	100	FPRL1 inhibitory protein	0.00650580761978865	0.104148306672947
Putative transposon Tn552 DNA-invertase bin3	2	7	12	41	1	66.6666666666667	33.3333333333333	50	50	74.5454545454545	Putative transposon Tn552 DNA-invertase bin3	0.00656574055948593	0.104148306672947
HTH-type transcriptional activator mta	3	21	20	55	2	100	100	100	83.3333333333333	100	HTH-type transcriptional activator mta	0.00671869071677773	0.105605602266443
Streptomycin 3''-adenylyltransferase	0	4	1	19	0	0	19.047619047619	0	4.16666666666667	34.5454545454545	Streptomycin 3''-adenylyltransferase	0.00683549855722064	0.106473666715626
Staphylokinase	2	20	17	53	2	66.6666666666667	95.2380952380952	100	70.8333333333333	96.3636363636364	Staphylokinase	0.00747298688633001	0.11536423505772
Putative metallophosphoesterase MG207 	2	20	13	44	1	66.6666666666667	95.2380952380952	50	54.1666666666667	80	Putative metallophosphoesterase MG207 	0.00800131435673693	0.12242719046724
HTH-type transcriptional regulator GltR	3	16	10	24	2	100	76.1904761904762	100	41.6666666666667	43.6363636363636	HTH-type transcriptional regulator GltR	0.00850812633105997	0.129039916021076
Regulatory protein BlaR1	3	21	17	50	1	100	100	50	70.8333333333333	90.9090909090909	Regulatory protein BlaR1	0.00866175947575803	0.130227670726832
Dipeptide transport system permease protein DppC	3	20	18	54	1	100	95.2380952380952	50	75	98.1818181818182	Dipeptide transport system permease protein DppC	0.0106066337500837	0.156742476529014
Oligopeptide-binding protein AppA	3	20	18	54	1	100	95.2380952380952	50	75	98.1818181818182	Oligopeptide-binding protein AppA	0.0106066337500837	0.156742476529014
DNA replication protein DnaC	2	14	8	40	1	66.6666666666667	66.6666666666667	50	33.3333333333333	72.7272727272727	DNA replication protein DnaC	0.0112014826887536	0.164130199736059
L-isoleucine-4-hydroxylase	0	2	4	0	0	0	9.52380952380952	0	16.6666666666667	0	L-isoleucine-4-hydroxylase	0.0121467165437161	0.175013940867376
Serine-aspartate repeat-containing protein D	3	19	15	32	2	100	90.4761904761905	100	62.5	58.1818181818182	Serine-aspartate repeat-containing protein D	0.0121416014075241	0.175013940867376
Nisin leader peptide-processing serine protease NisP	1	2	9	26	0	33.3333333333333	9.52380952380952	0	37.5	47.2727272727273	Nisin leader peptide-processing serine protease NisP	0.0130848893562563	0.185440768007927
putative amino-acid metabolite efflux pump	2	18	13	48	1	66.6666666666667	85.7142857142857	50	54.1666666666667	87.2727272727273	putative amino-acid metabolite efflux pump	0.0130323329658	0.185440768007927
NAD(P)H azoreductase	3	21	24	47	2	100	100	100	100	85.4545454545455	NAD(P)H azoreductase	0.0139378591373084	0.195923239417937
Serine protease SplE	1	6	18	28	0	33.3333333333333	28.5714285714286	0	75	50.9090909090909	Serine protease SplE	0.0145291718130069	0.202588210199104
Subtilisin E	0	3	3	0	0	0	14.2857142857143	0	12.5	0	Subtilisin E	0.0151089726156655	0.208987309219886
Adenosine monophosphate-protein transferase SoFic	3	16	9	33	2	100	76.1904761904762	100	37.5	60	Adenosine monophosphate-protein transferase SoFic	0.0152835240171595	0.209723912902134
DNA polymerase III subunit epsilon	2	4	9	31	2	66.6666666666667	19.047619047619	100	37.5	56.3636363636364	DNA polymerase III subunit epsilon	0.0166782425567283	0.227060483311679
N-acetylmuramoyl-L-alanine amidase CwlA	1	2	0	0	0	33.3333333333333	9.52380952380952	0	0	0	N-acetylmuramoyl-L-alanine amidase CwlA	0.0177292350641114	0.239483183014442
HTH-type transcriptional repressor RghR	0	3	0	0	0	0	14.2857142857143	0	0	0	HTH-type transcriptional repressor RghR	0.0194038176750195	0.260071323721773
Competence transcription factor	3	21	19	53	2	100	100	100	79.1666666666667	96.3636363636364	Competence transcription factor	0.0243090665407346	0.323310584991771
HTH-type transcriptional regulator YofA	1	2	9	24	0	33.3333333333333	9.52380952380952	0	37.5	43.6363636363636	HTH-type transcriptional regulator YofA	0.0270358883181484	0.356832449634188
putative multidrug-efflux transporter	1	5	16	28	0	33.3333333333333	23.8095238095238	0	66.6666666666667	50.9090909090909	putative multidrug-efflux transporter	0.0286538402204126	0.373336336781976
Type-1 restriction enzyme EcoKI specificity protein	0	0	3	0	0	0	0	0	12.5	0	Type-1 restriction enzyme EcoKI specificity protein	0.0287181797524597	0.373336336781976
Glutaredoxin arsenate reductase	3	6	12	30	0	100	28.5714285714286	0	50	54.5454545454545	Glutaredoxin arsenate reductase	0.0352818666822439	0.455241399205968
Superoxide dismutase [Mn/Fe] 2	3	21	20	54	2	100	100	100	83.3333333333333	98.1818181818182	Superoxide dismutase [Mn/Fe] 2	0.0387277117213537	0.496001581972004
HTH-type transcriptional regulator CysL	1	1	2	0	0	33.3333333333333	4.76190476190476	0	8.33333333333333	0	HTH-type transcriptional regulator CysL	0.0420121240301515	0.53021140473089
Multicopper oxidase mco	1	1	2	0	0	33.3333333333333	4.76190476190476	0	8.33333333333333	0	Multicopper oxidase mco	0.0420121240301515	0.53021140473089
Enterotoxin type C-3	1	1	0	0	0	33.3333333333333	4.76190476190476	0	0	0	Enterotoxin type C-3	0.0488308992803382	0.611801629389165
Glutamate synthase [NADPH] small chain	2	21	23	55	2	66.6666666666667	100	100	95.8333333333333	100	Glutamate synthase [NADPH] small chain	0.0551842651748186	0.686428737318427
Glutathione amide reductase	1	0	0	4	0	33.3333333333333	0	0	0	7.27272727272727	Glutathione amide reductase	0.0571232399275078	0.70046866549405
Mercuric reductase	1	0	0	4	0	33.3333333333333	0	0	0	7.27272727272727	Mercuric reductase	0.0571232399275078	0.70046866549405
HTH-type transcriptional repressor Bm3R1	1	0	0	0	0	33.3333333333333	0	0	0	0	HTH-type transcriptional repressor Bm3R1	0.059103635542496	0.714616684286542
Poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein IcaD	2	21	24	55	2	66.6666666666667	100	100	100	100	Poly-beta-1,6-N-acetyl-D-glucosamine synthesis protein IcaD	0.059103635542496	0.714616684286542
5-aminolevulinate synthase	1	1	1	0	0	33.3333333333333	4.76190476190476	0	4.16666666666667	0	5-aminolevulinate synthase	0.0733500777051175	0.862736628245906
Delta-hemolysin	2	20	23	55	2	66.6666666666667	95.2380952380952	100	95.8333333333333	100	Delta-hemolysin	0.0733500777051174	0.862736628245906
Nitronate monooxygenase	1	1	1	0	0	33.3333333333333	4.76190476190476	0	4.16666666666667	0	Nitronate monooxygenase	0.0733500777051175	0.862736628245906
putative protease YdeA	1	1	1	0	0	33.3333333333333	4.76190476190476	0	4.16666666666667	0	putative protease YdeA	0.0733500777051175	0.862736628245906
(S)-2-haloacid dehalogenase 4A	3	21	24	55	2	100	100	100	100	100	(S)-2-haloacid dehalogenase 4A	1	1
1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	3	21	24	55	2	100	100	100	100	100	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	1	1
1-acyl-sn-glycerol-3-phosphate acyltransferase	3	21	24	55	2	100	100	100	100	100	1-acyl-sn-glycerol-3-phosphate acyltransferase	1	1
1-phosphatidylinositol phosphodiesterase	3	21	24	55	2	100	100	100	100	100	1-phosphatidylinositol phosphodiesterase	1	1
1-pyrroline-5-carboxylate dehydrogenase	3	21	24	55	2	100	100	100	100	100	1-pyrroline-5-carboxylate dehydrogenase	1	1
1,4-dihydroxy-2-naphthoate octaprenyltransferase	3	21	24	55	2	100	100	100	100	100	1,4-dihydroxy-2-naphthoate octaprenyltransferase	1	1
1,4-dihydroxy-2-naphthoyl-CoA synthase	3	21	24	55	2	100	100	100	100	100	1,4-dihydroxy-2-naphthoyl-CoA synthase	1	1
10 kDa chaperonin	3	21	24	55	2	100	100	100	100	100	10 kDa chaperonin	1	1
14.7 kDa ribonuclease H-like protein	3	21	23	55	2	100	100	100	95.8333333333333	100	14.7 kDa ribonuclease H-like protein	0.400046832154877	1
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	3	21	24	55	2	100	100	100	100	100	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	1	1
2-dehydropantoate 2-reductase	3	21	24	55	2	100	100	100	100	100	2-dehydropantoate 2-reductase	1	1
2-iminobutanoate/2-iminopropanoate deaminase	3	21	24	55	2	100	100	100	100	100	2-iminobutanoate/2-iminopropanoate deaminase	1	1
2-isopropylmalate synthase	3	21	24	55	2	100	100	100	100	100	2-isopropylmalate synthase	1	1
2-oxoglutaramate amidase	3	21	24	55	2	100	100	100	100	100	2-oxoglutaramate amidase	1	1
2-oxoglutarate carboxylase small subunit	3	21	24	55	2	100	100	100	100	100	2-oxoglutarate carboxylase small subunit	1	1
2-oxoglutarate dehydrogenase E1 component	3	21	24	55	2	100	100	100	100	100	2-oxoglutarate dehydrogenase E1 component	1	1
