ProkID	BinId	Seq_Tech	Assembler	Gen_Coverage	Assem_Lvl	RGA	Seq_Tech2	Assembler2	Gen_Coverage2	Gravity	Category	Sample_Type	Host_Health	Sample_Site	Sample_Site_2	Strain	Culture_Media	Reference
GCA_002007005_prok	GCA_002007005.1_ASM200700v1_genomic	Illumina GAIIx	IDBA-UD v. 1.1.1	128	Scaffold	de-novo	Illumina	IDBA-UD	128	Earth	Human	Blood		USA: Louisiana: Galliano	USA: Louisiana	LA2007	Triptocase soy agar	Pena-Gonzalez et al. 2017
GCA_002150025_prok	GCA_002150025.1_ASM215002v1_genomic	Illumina MiSeq	IDBA-UD v. 1.1.3	1990	Contig	de-novo	Illumina	IDBA-UD	1990	Space	BE_ISS	Surface		ISS-Kibo JEM: Surface (04/30/09)	JEM Kibo: Surface (04/30/09)	JEM-1	Triptocase soy agar	Venkateswaran et al. 2017
GCA_002151615_prok	GCA_002151615.1_ASM215161v1_genomic	Illumina MiSeq	idba-ud v. 1.1.3	638	Scaffold		Illumina	IDBA-UD	638	Space	BE_ISS	Surface		ISS-Russian Module: Surface (10/10/05)	Russian Module: Surface (10/10/05)	S2-R3J1-FB-BA1	Fastidious broth to blood agar	Venkateswaran et al. 2017
GCA_002151625_prok	GCA_002151625.1_ASM215162v1_genomic	Illumina MiSeq	idba-ud v. 1.1.3	721	Scaffold		Illumina	IDBA-UD	721	Space	BE_ISS	Surface		ISS-Russian Module: Surface (04/28/04)	Russian Module: Surface (04/28/04)	S1-R2T1-FB	Fastidious broth to blood agar	Venkateswaran et al. 2017
GCA_002151665_prok	GCA_002151665.1_ASM215166v1_genomic	Illumina MiSeq	idba-ud v. 1.1.3	242	Scaffold		Illumina	IDBA-UD	242	Space	BE_ISS	Surface		ISS-Russian Module: Surface (04/28/04)	Russian Module: Surface (04/28/04)	S1-R4H1-FB	Fastidious broth to blood agar	Venkateswaran et al. 2017
GCA_002530625_prok	GCA_002530625.1_ASM253062v1_genomic	Illumina MiSeq	a5-miseq-pipeline v. 20160825	91	Contig		Illumina	A5	91	Earth	Human	Stomach	foodborne disease	China: Hangzhou	China: Hangzhou	HZBCE-02	NA	Wang, Unpublished
GCA_002530635_prok	GCA_002530635.1_ASM253063v1_genomic	Illumina MiSeq	a5-miseq-pipeline v. 20160825	103	Contig		Illumina	A5	103	Earth	Human	Stomach	foodborne disease	China: Hangzhou	China: Hangzhou	HZBCE-01	NA	Wang, Unpublished
GCA_002807155_prok	GCA_002807155.1_ASM280715v1_genomic	Illumina	SPAdes v. 3.10.1	80.39	Contig		Illumina	Spades	80.39	Earth	Human	NA	Bacteremia, sepsis, diarrhea	USA: Tennessee: Memphis	USA: Tennessee	SJ-S24	NA	Chang et al. 2017
GCA_002807165_prok	GCA_002807165.1_ASM280716v1_genomic	Illumina	SPAdes v. 3.10.1	91.56	Scaffold		Illumina	Spades	91.56	Earth	Human	NA	Bacteremia	USA: Tennessee: Memphis	USA: Tennessee	SJ-S23	NA	Chang et al. 2017
GCA_002807265_prok	GCA_002807265.1_ASM280726v1_genomic	Illumina	SPAdes v. 3.10.1	56.99	Scaffold		Illumina	Spades	56.99	Earth	Human	NA	Bacteremia	USA: Tennessee: Memphis	USA: Tennessee	SJ-S17	NA	Chang et al. 2017
GCA_002807375_prok	GCA_002807375.1_ASM280737v1_genomic	Illumina	SPAdes v. 3.10.1	70.42	Contig		Illumina	Spades	70.42	Earth	Human	NA	Stool colonization	USA: Tennessee: Memphis	USA: Tennessee	SJ-S30	NA	Chang et al. 2017
GCA_002807415_prok	GCA_002807415.1_ASM280741v1_genomic	Illumina	SPAdes v. 3.10.1	58.2	Contig		Illumina	Spades	58.2	Earth	Human	NA	Skin infection	USA: Tennessee: Memphis	USA: Tennessee	SJ-S28	NA	Chang et al. 2017
GCA_002807445_prok	GCA_002807445.1_ASM280744v1_genomic	Illumina	SPAdes v. 3.10.1	71.43	Contig		Illumina	Spades	71.43	Earth	Human	NA	Skin infection	USA: Tennessee: Memphis	USA: Tennessee	SJ-S27	NA	Chang et al. 2017
GCA_002811445_prok	GCA_002811445.1_ASM281144v1_genomic	Illumina HiSeq	SPAdes v. 3.50	28	Scaffold	de-novo	Illumina	Spades	28	Earth	Human	Vomit	Vomiting	China	China	6113	NA	Peng, Unpublished
GCA_003013315_prok	GCA_003013315.1_ASM301331v1_genomic	PacBio; Illumina NextSeq	CANU v. 1.5	11	Complete genome		Multiple	CANU	11	Earth	Soil	Soil		China: Fujian Province: Zhangpu Yanchang	China: Fujian	TG1-6	NA	Zhang, Unpublished
