"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","SRR1617632__prok","SRR1656267_prok","SRR1656269__prok","SRR1656335__prok","SRR1656350__prok","SRR2164311__prok","SRR2167785_prok","SRR2171381__prok","SRR2171418__prok","SRR3954738__prok","SRR3954739__prok","SRR3954741__prok","SRR3954742__prok","SRR3954743__prok","SRR3954744__prok","SRR3954745__prok","SRR3954747__prok","SRR4420705__prok"
"group_1020","","hypothetical protein","18","18","1","1","8931","","","","203","203","203","SRR1617632__prok_04319","SRR1656267_prok_04462","SRR1656269__prok_04115","SRR1656335__prok_05310","SRR1656350__prok_05077","SRR2164311__prok_04122","SRR2167785_prok_01180","SRR2171381__prok_00345","SRR2171418__prok_00973","SRR3954738__prok_02756","SRR3954739__prok_01761","SRR3954741__prok_03092","SRR3954742__prok_02684","SRR3954743__prok_04966","SRR3954744__prok_01794","SRR3954745__prok_05155","SRR3954747__prok_01941","SRR4420705__prok_04208"
"group_1021","","hypothetical protein","18","18","1","1","8928","","","","404","404","404","SRR1617632__prok_04323","SRR1656267_prok_04465","SRR1656269__prok_04118","SRR1656335__prok_05416","SRR1656350__prok_03770","SRR2164311__prok_04118","SRR2167785_prok_01177","SRR2171381__prok_00342","SRR2171418__prok_00976","SRR3954738__prok_02753","SRR3954739__prok_01758","SRR3954741__prok_03089","SRR3954742__prok_02687","SRR3954743__prok_04969","SRR3954744__prok_01797","SRR3954745__prok_04915","SRR3954747__prok_01944","SRR4420705__prok_04211"
"pbpB_2","","Penicillin-binding protein 2B","18","18","1","1","8881","","","","1016","2138","2075","SRR1617632__prok_04347","SRR1656267_prok_01949","SRR1656269__prok_01624","SRR1656335__prok_04029","SRR1656350__prok_03795","SRR2164311__prok_04094","SRR2167785_prok_01155","SRR2171381__prok_00320","SRR2171418__prok_00998","SRR3954738__prok_02731","SRR3954739__prok_01736","SRR3954741__prok_03067","SRR3954742__prok_02709","SRR3954743__prok_05336","SRR3954744__prok_01819","SRR3954745__prok_05066","SRR3954747__prok_01966","SRR4420705__prok_05140"
"genK","","Gentisate transporter","18","18","1","1","1913","","","","1301","1301","1301","SRR1617632__prok_04369","SRR1656267_prok_03934","SRR1656269__prok_03896","SRR1656335__prok_02593","SRR1656350__prok_01491","SRR2164311__prok_04540","SRR2167785_prok_03924","SRR2171381__prok_03696","SRR2171418__prok_03983","SRR3954738__prok_03445","SRR3954739__prok_04075","SRR3954741__prok_03983","SRR3954742__prok_04107","SRR3954743__prok_03342","SRR3954744__prok_03566","SRR3954745__prok_04563","SRR3954747__prok_03985","SRR4420705__prok_01367"
"thiM","","Hydroxyethylthiazole kinase","18","18","1","1","1891","","","","806","809","806","SRR1617632__prok_04382","SRR1656267_prok_03954","SRR1656269__prok_03876","SRR1656335__prok_02567","SRR1656350__prok_01518","SRR2164311__prok_04527","SRR2167785_prok_03911","SRR2171381__prok_03677","SRR2171418__prok_03971","SRR3954738__prok_03464","SRR3954739__prok_04094","SRR3954741__prok_03964","SRR3954742__prok_04126","SRR3954743__prok_03323","SRR3954744__prok_03547","SRR3954745__prok_01701","SRR3954747__prok_03966","SRR4420705__prok_00841"
"group_1027","","hypothetical protein","18","18","1","1","1875","","","","314","314","314","SRR1617632__prok_04394","SRR1656267_prok_03965","SRR1656269__prok_03865","SRR1656335__prok_02553","SRR1656350__prok_01532","SRR2164311__prok_04515","SRR2167785_prok_03900","SRR2171381__prok_03666","SRR2171418__prok_03959","SRR3954738__prok_03476","SRR3954739__prok_04106","SRR3954741__prok_03952","SRR3954742__prok_04138","SRR3954743__prok_03311","SRR3954744__prok_03535","SRR3954745__prok_01689","SRR3954747__prok_03954","SRR4420705__prok_00829"
"group_1028","","hypothetical protein","18","18","1","1","1874","","","","245","251","245","SRR1617632__prok_04395","SRR1656267_prok_03966","SRR1656269__prok_03864","SRR1656335__prok_02552","SRR1656350__prok_01533","SRR2164311__prok_04514","SRR2167785_prok_03899","SRR2171381__prok_03665","SRR2171418__prok_03958","SRR3954738__prok_03477","SRR3954739__prok_04107","SRR3954741__prok_03951","SRR3954742__prok_04139","SRR3954743__prok_03310","SRR3954744__prok_03534","SRR3954745__prok_01688","SRR3954747__prok_03953","SRR4420705__prok_00828"
"group_1029","","hypothetical protein","18","18","1","1","1872","","","","143","143","143","SRR1617632__prok_04397","SRR1656267_prok_03967","SRR1656269__prok_03863","SRR1656335__prok_02551","SRR1656350__prok_01534","SRR2164311__prok_04512","SRR2167785_prok_03897","SRR2171381__prok_03663","SRR2171418__prok_03957","SRR3954738__prok_03478","SRR3954739__prok_04108","SRR3954741__prok_03950","SRR3954742__prok_04140","SRR3954743__prok_03309","SRR3954744__prok_03533","SRR3954745__prok_01687","SRR3954747__prok_03952","SRR4420705__prok_00826"
"yeiL_2","","Regulatory protein YeiL","18","18","1","1","2076","","","","455","671","659","SRR1617632__prok_03527","SRR1656267_prok_04354","SRR1656269__prok_04850","SRR1656335__prok_01797","SRR1656350__prok_03662","SRR2164311__prok_03401","SRR2167785_prok_01353","SRR2171381__prok_03221","SRR2171418__prok_04151","SRR3954738__prok_04324","SRR3954739__prok_04725","SRR3954741__prok_04672","SRR3954742__prok_04803","SRR3954743__prok_04385","SRR3954744__prok_04579","SRR3954745__prok_02167","SRR3954747__prok_04640","SRR4420705__prok_00055"
"alkA_2","","DNA-3-methyladenine glycosylase","18","18","1","1","1834","","","","863","863","863","SRR1617632__prok_04434","SRR1656267_prok_04517","SRR1656269__prok_03827","SRR1656335__prok_04149","SRR1656350__prok_01571","SRR2164311__prok_04475","SRR2167785_prok_03859","SRR2171381__prok_03626","SRR2171418__prok_03920","SRR3954738__prok_03515","SRR3954739__prok_04145","SRR3954741__prok_03913","SRR3954742__prok_04177","SRR3954743__prok_03272","SRR3954744__prok_03496","SRR3954745__prok_01650","SRR3954747__prok_03915","SRR4420705__prok_00790"
"pbpX_4","","Putative penicillin-binding protein PbpX","18","18","1","1","1818","","","","1238","1289","1252","SRR1617632__prok_04448","SRR1656267_prok_04531","SRR1656269__prok_03813","SRR1656335__prok_04135","SRR1656350__prok_01585","SRR2164311__prok_04461","SRR2167785_prok_03845","SRR2171381__prok_03615","SRR2171418__prok_03906","SRR3954738__prok_03529","SRR3954739__prok_04159","SRR3954741__prok_03899","SRR3954742__prok_04191","SRR3954743__prok_03258","SRR3954744__prok_03482","SRR3954745__prok_01636","SRR3954747__prok_03901","SRR4420705__prok_01721"
"rfbB","","dTDP-glucose 4,6-dehydratase","18","18","1","1","1810","","","","965","965","965","SRR1617632__prok_04454","SRR1656267_prok_04536","SRR1656269__prok_03808","SRR1656335__prok_04130","SRR1656350__prok_01590","SRR2164311__prok_04455","SRR2167785_prok_03840","SRR2171381__prok_03610","SRR2171418__prok_03901","SRR3954738__prok_03534","SRR3954739__prok_04164","SRR3954741__prok_03894","SRR3954742__prok_04196","SRR3954743__prok_03253","SRR3954744__prok_03477","SRR3954745__prok_01631","SRR3954747__prok_03896","SRR4420705__prok_01716"
"group_1033","","Epimerase family protein","18","18","1","1","1802","","","","905","905","905","SRR1617632__prok_04462","SRR1656267_prok_04545","SRR1656269__prok_03799","SRR1656335__prok_04122","SRR1656350__prok_01598","SRR2164311__prok_04447","SRR2167785_prok_03832","SRR2171381__prok_03602","SRR2171418__prok_03893","SRR3954738__prok_03542","SRR3954739__prok_04172","SRR3954741__prok_03886","SRR3954742__prok_04204","SRR3954743__prok_03245","SRR3954744__prok_03469","SRR3954745__prok_01623","SRR3954747__prok_03888","SRR4420705__prok_01707"
"group_1034","","hypothetical protein","18","18","1","1","1794","","","","224","224","224","SRR1617632__prok_04470","SRR1656267_prok_04553","SRR1656269__prok_03791","SRR1656335__prok_04114","SRR1656350__prok_01606","SRR2164311__prok_04439","SRR2167785_prok_03824","SRR2171381__prok_03594","SRR2171418__prok_03885","SRR3954738__prok_03550","SRR3954739__prok_04180","SRR3954741__prok_03878","SRR3954742__prok_04212","SRR3954743__prok_03237","SRR3954744__prok_03461","SRR3954745__prok_01615","SRR3954747__prok_03880","SRR4420705__prok_01699"
"phoU","","Phosphate-specific transport system accessory protein PhoU ","18","18","1","1","5125","","","","656","686","661","SRR1617632__prok_04564","SRR1656267_prok_00868","SRR1656269__prok_02025","SRR1656335__prok_00265","SRR1656350__prok_00084","SRR2164311__prok_04400","SRR2167785_prok_00560","SRR2171381__prok_01292","SRR2171418__prok_00663","SRR3954738__prok_01544","SRR3954739__prok_00813","SRR3954741__prok_02114","SRR3954742__prok_01785","SRR3954743__prok_00821","SRR3954744__prok_00620","SRR3954745__prok_01269","SRR3954747__prok_02985","SRR4420705__prok_01039"
"group_1037","","hypothetical protein","18","18","1","1","5107","","","","488","488","488","SRR1617632__prok_04583","SRR1656267_prok_00886","SRR1656269__prok_02043","SRR1656335__prok_00247","SRR1656350__prok_00102","SRR2164311__prok_04419","SRR2167785_prok_00543","SRR2171381__prok_01310","SRR2171418__prok_00646","SRR3954738__prok_01526","SRR3954739__prok_00795","SRR3954741__prok_02096","SRR3954742__prok_01767","SRR3954743__prok_00803","SRR3954744__prok_00638","SRR3954745__prok_01251","SRR3954747__prok_02967","SRR4420705__prok_01021"
"resE_7","","Sensor histidine kinase ResE","18","18","1","1","316","","","","1370","1391","1389","SRR1617632__prok_03682","SRR1656267_prok_02716","SRR1656269__prok_04254","SRR1656335__prok_02673","SRR1656350__prok_01944","SRR2164311__prok_03626","SRR2167785_prok_04105","SRR2171381__prok_03869","SRR2171418__prok_04456","SRR3954738__prok_03884","SRR3954739__prok_04261","SRR3954741__prok_04127","SRR3954742__prok_04350","SRR3954743__prok_03486","SRR3954744__prok_03767","SRR3954745__prok_02051","SRR3954747__prok_04186","SRR4420705__prok_01524"
"group_1041","","hypothetical protein","18","18","1","1","92","","","","140","140","140","SRR1617632__prok_04635","SRR1656267_prok_04275","SRR1656269__prok_04771","SRR1656335__prok_04214","SRR1656350__prok_04395","SRR2164311__prok_04720","SRR2167785_prok_05118","SRR2171381__prok_04731","SRR2171418__prok_04663","SRR3954738__prok_04768","SRR3954739__prok_04873","SRR3954741__prok_04944","SRR3954742__prok_04948","SRR3954743__prok_04661","SRR3954744__prok_04859","SRR3954745__prok_01888","SRR3954747__prok_04950","SRR4420705__prok_00897"
"modA","","Molybdate-binding periplasmic protein","18","18","1","1","98","","","","806","806","806","SRR1617632__prok_04640","SRR1656267_prok_04269","SRR1656269__prok_04765","SRR1656335__prok_04208","SRR1656350__prok_04389","SRR2164311__prok_04725","SRR2167785_prok_05124","SRR2171381__prok_04737","SRR2171418__prok_04657","SRR3954738__prok_04774","SRR3954739__prok_04867","SRR3954741__prok_04950","SRR3954742__prok_04942","SRR3954743__prok_04655","SRR3954744__prok_04865","SRR3954745__prok_01882","SRR3954747__prok_04956","SRR4420705__prok_00891"
"group_1043","","hypothetical protein","18","18","1","1","131","","","","566","566","566","SRR1617632__prok_04669","SRR1656267_prok_04239","SRR1656269__prok_04735","SRR1656335__prok_05334","SRR1656350__prok_05393","SRR2164311__prok_04754","SRR2167785_prok_05157","SRR2171381__prok_04771","SRR2171418__prok_04623","SRR3954738__prok_04808","SRR3954739__prok_04833","SRR3954741__prok_04984","SRR3954742__prok_04908","SRR3954743__prok_04621","SRR3954744__prok_04899","SRR3954745__prok_01848","SRR3954747__prok_04990","SRR4420705__prok_00861"
"cdaR_2","","CdaA regulatory protein CdaR","18","18","1","1","460","","","","1481","1490","1483","SRR1617632__prok_04673","SRR1656267_prok_04224","SRR1656269__prok_04720","SRR1656335__prok_05339","SRR1656350__prok_05388","SRR2164311__prok_04758","SRR2167785_prok_05167","SRR2171381__prok_04781","SRR2171418__prok_04613","SRR3954738__prok_04817","SRR3954739__prok_04824","SRR3954741__prok_04993","SRR3954742__prok_04899","SRR3954743__prok_04612","SRR3954744__prok_04908","SRR3954745__prok_01839","SRR3954747__prok_04999","SRR4420705__prok_04046"
"corA_3","","Magnesium transport protein CorA","18","18","1","1","8767","","","","950","950","950","SRR1617632__prok_04711","SRR1656267_prok_05019","SRR1656269__prok_00035","SRR1656335__prok_00683","SRR1656350__prok_02903","SRR2164311__prok_04808","SRR2167785_prok_04974","SRR2171381__prok_05050","SRR2171418__prok_04605","SRR3954738__prok_00026","SRR3954739__prok_04410","SRR3954741__prok_03471","SRR3954742__prok_00161","SRR3954743__prok_02669","SRR3954744__prok_02912","SRR3954745__prok_04733","SRR3954747__prok_00804","SRR4420705__prok_04219"
"group_1048","","hypothetical protein","18","18","1","1","8778","","","","326","401","390","SRR1617632__prok_04713","SRR1656267_prok_05021","SRR1656269__prok_00037","SRR1656335__prok_00681","SRR1656350__prok_02901","SRR2164311__prok_04806","SRR2167785_prok_04976","SRR2171381__prok_05048","SRR2171418__prok_04603","SRR3954738__prok_00028","SRR3954739__prok_04412","SRR3954741__prok_03469","SRR3954742__prok_00163","SRR3954743__prok_02671","SRR3954744__prok_02914","SRR3954745__prok_04735","SRR3954747__prok_00802","SRR4420705__prok_04221"
"group_105","","hypothetical protein","18","18","1","1","318","","","","941","959","947","SRR1617632__prok_03684","SRR1656267_prok_02718","SRR1656269__prok_04252","SRR1656335__prok_02675","SRR1656350__prok_01942","SRR2164311__prok_03624","SRR2167785_prok_04103","SRR2171381__prok_03867","SRR2171418__prok_04458","SRR3954738__prok_03882","SRR3954739__prok_04263","SRR3954741__prok_04129","SRR3954742__prok_04348","SRR3954743__prok_03488","SRR3954744__prok_03765","SRR3954745__prok_02049","SRR3954747__prok_04184","SRR4420705__prok_01522"
"group_1052","","hypothetical protein","18","18","1","1","1921","","","","428","668","654","SRR1617632__prok_04758","SRR1656267_prok_03927","SRR1656269__prok_03903","SRR1656335__prok_02599","SRR1656350__prok_01485","SRR2164311__prok_04843","SRR2167785_prok_03932","SRR2171381__prok_03704","SRR2171418__prok_03990","SRR3954738__prok_03436","SRR3954739__prok_04066","SRR3954741__prok_03992","SRR3954742__prok_04098","SRR3954743__prok_03351","SRR3954744__prok_03575","SRR3954745__prok_04572","SRR3954747__prok_03994","SRR4420705__prok_01360"
"group_1053","","hypothetical protein","18","18","1","1","1938","","","","605","608","607","SRR1617632__prok_04772","SRR1656267_prok_03913","SRR1656269__prok_03917","SRR1656335__prok_02615","SRR1656350__prok_01469","SRR2164311__prok_04857","SRR2167785_prok_03947","SRR2171381__prok_03718","SRR2171418__prok_04004","SRR3954738__prok_03422","SRR3954739__prok_04052","SRR3954741__prok_04006","SRR3954742__prok_04084","SRR3954743__prok_03365","SRR3954744__prok_03589","SRR3954745__prok_03058","SRR3954747__prok_04008","SRR4420705__prok_01346"
"sttH_4","","Streptothricin hydrolase","18","18","1","1","1972","","","","545","563","560","SRR1617632__prok_04805","SRR1656267_prok_03884","SRR1656269__prok_03946","SRR1656335__prok_02648","SRR1656350__prok_01436","SRR2164311__prok_04890","SRR2167785_prok_03979","SRR2171381__prok_03750","SRR2171418__prok_04036","SRR3954738__prok_03390","SRR3954739__prok_04020","SRR3954741__prok_04038","SRR3954742__prok_04052","SRR3954743__prok_03397","SRR3954744__prok_03621","SRR3954745__prok_03090","SRR3954747__prok_04040","SRR4420705__prok_01311"
"yknZ_1","","putative ABC transporter permease YknZ","18","18","1","1","2298","","","","1199","1202","1199","SRR1617632__prok_04890","SRR1656267_prok_03992","SRR1656269__prok_02098","SRR1656335__prok_04640","SRR1656350__prok_04678","SRR2164311__prok_04975","SRR2167785_prok_01526","SRR2171381__prok_05216","SRR2171418__prok_02384","SRR3954738__prok_02325","SRR3954739__prok_02944","SRR3954741__prok_02893","SRR3954742__prok_03927","SRR3954743__prok_02087","SRR3954744__prok_01378","SRR3954745__prok_00284","SRR3954747__prok_03549","SRR4420705__prok_01006"
"sigK_2","","RNA polymerase sigma-28 factor","18","18","1","1","2301","","","","437","470","452","SRR1617632__prok_04893","SRR1656267_prok_03994","SRR1656269__prok_02100","SRR1656335__prok_04638","SRR1656350__prok_04676","SRR2164311__prok_04978","SRR2167785_prok_01529","SRR2171381__prok_05213","SRR2171418__prok_02387","SRR3954738__prok_02322","SRR3954739__prok_02941","SRR3954741__prok_02890","SRR3954742__prok_03924","SRR3954743__prok_02084","SRR3954744__prok_01381","SRR3954745__prok_00281","SRR3954747__prok_03552","SRR4420705__prok_01004"
"group_106","","hypothetical protein","18","18","1","1","6658","","","","326","947","804","SRR1617632__prok_04280","SRR1656267_prok_04419","SRR1656269__prok_04073","SRR1656335__prok_02808","SRR1656350__prok_03049","SRR2164311__prok_04161","SRR2167785_prok_01225","SRR2171381__prok_00442","SRR2171418__prok_00927","SRR3954738__prok_03189","SRR3954739__prok_01852","SRR3954741__prok_03183","SRR3954742__prok_02593","SRR3954743__prok_05247","SRR3954744__prok_01703","SRR3954745__prok_05154","SRR3954747__prok_01850","SRR4420705__prok_04896"
"group_1060","","hypothetical protein","18","18","1","1","2326","","","","317","317","317","SRR1617632__prok_04916","SRR1656267_prok_04018","SRR1656269__prok_02124","SRR1656335__prok_05232","SRR1656350__prok_05237","SRR2164311__prok_05001","SRR2167785_prok_01553","SRR2171381__prok_05190","SRR2171418__prok_02411","SRR3954738__prok_02298","SRR3954739__prok_02917","SRR3954741__prok_02866","SRR3954742__prok_03900","SRR3954743__prok_02060","SRR3954744__prok_01405","SRR3954745__prok_00257","SRR3954747__prok_03576","SRR4420705__prok_00980"
"group_1063","","hypothetical protein","18","18","1","1","1606","","","","146","149","148","SRR1617632__prok_04922","SRR1656267_prok_04027","SRR1656269__prok_02133","SRR1656335__prok_05226","SRR1656350__prok_05231","SRR2164311__prok_05007","SRR2167785_prok_01560","SRR2171381__prok_05182","SRR2171418__prok_02418","SRR3954738__prok_02290","SRR3954739__prok_02909","SRR3954741__prok_02858","SRR3954742__prok_03892","SRR3954743__prok_02052","SRR3954744__prok_01413","SRR3954745__prok_00249","SRR3954747__prok_03584","SRR4420705__prok_00974"
"esaA","","ESAT-6 secretion accessory factor EsaA","18","18","1","1","1603","","","","2000","2000","2000","SRR1617632__prok_04925","SRR1656267_prok_04030","SRR1656269__prok_02136","SRR1656335__prok_04261","SRR1656350__prok_05266","SRR2164311__prok_05010","SRR2167785_prok_01563","SRR2171381__prok_05179","SRR2171418__prok_02421","SRR3954738__prok_02287","SRR3954739__prok_02906","SRR3954741__prok_02855","SRR3954742__prok_03889","SRR3954743__prok_02049","SRR3954744__prok_01416","SRR3954745__prok_00246","SRR3954747__prok_03587","SRR4420705__prok_00971"
"chbG","","Chitooligosaccharide deacetylase ChbG","18","18","1","1","1586","","","","704","704","704","SRR1617632__prok_04938","SRR1656267_prok_04043","SRR1656269__prok_02149","SRR1656335__prok_04277","SRR1656350__prok_04664","SRR2164311__prok_05023","SRR2167785_prok_01581","SRR2171381__prok_05166","SRR2171418__prok_02439","SRR3954738__prok_02274","SRR3954739__prok_02893","SRR3954741__prok_02842","SRR3954742__prok_03876","SRR3954743__prok_02036","SRR3954744__prok_01429","SRR3954745__prok_00233","SRR3954747__prok_03600","SRR4420705__prok_00955"
"group_1077","norG_3","HTH-type transcriptional regulator NorG","18","18","1","1","8179","","","","1433","1433","1433","SRR1617632__prok_05314","SRR1656267_prok_01931","SRR1656269__prok_01606","SRR1656335__prok_04056","SRR1656350__prok_03822","SRR2164311__prok_05317","SRR2167785_prok_01131","SRR2171381__prok_00300","SRR2171418__prok_01018","SRR3954738__prok_02711","SRR3954739__prok_01716","SRR3954741__prok_03047","SRR3954742__prok_02729","SRR3954743__prok_05139","SRR3954744__prok_01839","SRR3954745__prok_04503","SRR3954747__prok_01986","SRR4420705__prok_03316"
"group_1078","bltD_2","Spermine/spermidine acetyltransferase","18","18","1","1","8174","","","","458","458","458","SRR1617632__prok_05318","SRR1656267_prok_01927","SRR1656269__prok_01602","SRR1656335__prok_04058","SRR1656350__prok_03824","SRR2164311__prok_05321","SRR2167785_prok_01129","SRR2171381__prok_00297","SRR2171418__prok_01020","SRR3954738__prok_02708","SRR3954739__prok_01713","SRR3954741__prok_03044","SRR3954742__prok_02732","SRR3954743__prok_05142","SRR3954744__prok_01842","SRR3954745__prok_04506","SRR3954747__prok_01989","SRR4420705__prok_03320"
"yhjX_1","","putative MFS-type transporter YhjX","18","18","1","1","8164","","","","1028","1208","1198","SRR1617632__prok_05324","SRR1656267_prok_01921","SRR1656269__prok_01596","SRR1656335__prok_04064","SRR1656350__prok_03830","SRR2164311__prok_05327","SRR2167785_prok_01123","SRR2171381__prok_00291","SRR2171418__prok_01026","SRR3954738__prok_02702","SRR3954739__prok_01707","SRR3954741__prok_03038","SRR3954742__prok_02738","SRR3954743__prok_05148","SRR3954744__prok_01848","SRR3954745__prok_04512","SRR3954747__prok_01995","SRR4420705__prok_03326"
"nudC_2","","NADH pyrophosphatase","18","18","1","1","8162","","","","443","491","445","SRR1617632__prok_05327","SRR1656267_prok_01919","SRR1656269__prok_01594","SRR1656335__prok_04065","SRR1656350__prok_03831","SRR2164311__prok_05330","SRR2167785_prok_01122","SRR2171381__prok_00288","SRR2171418__prok_01027","SRR3954738__prok_02699","SRR3954739__prok_01704","SRR3954741__prok_03035","SRR3954742__prok_02741","SRR3954743__prok_05151","SRR3954744__prok_01851","SRR3954745__prok_04515","SRR3954747__prok_01998","SRR4420705__prok_03329"
